Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
An Chonair (Conor Pass),,,-10.207747,52.181771,Kerry,Dingle Peninsula,Ireland,Discovery Point
An F?d Dubh (Blacksod Harbour),,,-10.060762,54.098875,Mayo,,Ireland,Embarkation Point
An F?l M?r (Falmore),,,-10.085653,54.09554,Mayo,,Ireland,Discovery Point
Angela Woulfe Gallery,http://www.angelawoulfegallery.com/,35361310164,-8.6288578,52.6591346,Limerick,,Ireland,"Craft,Shopping,Art Gallery"
Angling Services Ireland,http://www.anglingservicesireland.com,3.53866E+11,-8.2868153,53.9835159,Roscommon,Boyle,Ireland,"Fishing,Angling,Learning,Museums and Attraction"
An Grianan,http://www.an-grianan.ie,3.5342E+11,-6.265664799,53.75562207,Louth,Termonfeckin,Republic of Ireland,"Cooking,Cookery,Learning,Museums and Attraction"
An Grianan Adult Education College,https://www.an-grianan.ie,3.5342E+11,-6.264549,53.754937,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Annagh Church,,3.53667E+11,-9.742521,52.248165,Kerry,Blennerville,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Annaharvey Farm Cookery School,http://www.annaharveyfarm.ie,3.53579E+11,-7.398389,53.249783,Offaly,,Ireland,"Cooking,Cookery,Learning,Museums and Attraction"
Annemarie Bourke Studio Gallery,https://www.annemariebourke.com/,35361410510,-8.6293925,52.6613024,Limerick,,Ireland,"Craft,Shopping,Art Gallery"
Annes Grove Miniature Castle,https://www.irishlandmark.com/property/annes-grove-miniature-castle,35316704733,-8.4757718,52.2002048,Cork,,Ireland,"Historic Houses and Castle,Castle"
Annestown Green Coast Beach 2019,,+353(0)51875823,-7.31236015,52.13610721,Waterford,Annestown,Republic of Ireland,Beach
An tSean Bheairic,http://www.falcarraghvisitorcentre.com,3.53749E+11,-8.100882,55.137024,Donegal,Falcarragh,Ireland,Museums and Attraction
"Applied Language Centre, University College Dublin",http://www.ucd.ie/alc,+353(0)17167900,-6.220299,53.306327,Dublin,Belfield,Republic of Ireland,"Learning,Museums and Attraction"
AquaZone at the National Aquatic Centre,http://www.aquazone.ie,+353(0)16464300,-6.370179,53.397004,Dublin,Blanchardstown,Republic of Ireland,Museums and Attraction
Aran Islands - Inisheer - Inis O?rr,,,-9.529072668,53.05716203,Galway,,Republic of Ireland,"Island,Offshore Island"
Aran Islands - Inishmaan - Inis Me?in,,,-9.58965917,53.08469456,Galway,Aran Islands,Republic of Ireland,"Island,Offshore Island"
Aran Islands - Inishmaan - Inis ?rainn,,+353(0)9961263,-9.719242279,53.13713245,Galway,,Republic of Ireland,"Island,Offshore Island"
Arboretum Inspirational Gardens,https://www.arboretum.ie/,3.536E+11,-6.9747303,52.742058,Carlow,Leighlinbridge,Ireland,"Cafe,Food and Drink,Shopping,Shopping Centres and Department Store,Gardening,Nature and Wildlife,Gardens,Garden"
Arbour Hill Cemetery,http://www.heritageireland.ie/en/dublin/arbourhillcemetery/,+353(0)18213021,-6.286436,53.35108,Dublin,,Republic of Ireland,Museums and Attraction
Ardamine Beach,,,-6.226382459,52.64386973,Wexford,Courtown,Republic of Ireland,Beach
Ardara Heritage Centre,http://ardara.ie/tag/heritage-centre,3.53872E+11,-8.4126667,54.762,Donegal,Ardara,Ireland,Museums and Attraction
Ardfert Cathedral,http://www.heritageireland.ie/en/shannon-region/ardfertcathedral,3.53667E+11,-9.781663,52.328601,Kerry,Ardfert,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardgillan Castle and Victorian Gardens,https://ardgillancastle.ie,35318492212,-6.1616584,53.5817894,Dublin,Balbriggan,Ireland,"Historic Houses and Castle,Castle,Gardens,Garden"
Ardgillan Demesne,http://www.facebook.com/ardgillancastle,+353(0)18492212,-6.159029692,53.58716314,Dublin,Balbriggan,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Ardmore Blue Flag Beach 2019,http://blueflagireland.org/,,-7.722228366,51.95218499,Waterford,Ardmore,Ireland,Beach
Ardmore Round Tower And Cathedral,http://roundtowers.org/ardmore/index1.htm,,-7.72603896,51.94868846,Waterford,Ardmore,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ardmulchan Church,"http://www.megalithicireland.com/Ardmulchan%20Church,%20Meath.html",,-6.628602,53.6718102,Meath,Kells,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Ardnahinch Green Coast Beach 2019,,,-8.021149103,51.85370165,Cork,,Ireland,Beach
Ardnamona Woods,http://www.irishtrails.ie/Trail/Ard-na-Mona-Wood/527/,,-8.110547707,54.65340502,Donegal,,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Ards Forest Park,http://www.coillte.ie/site/ards-forest-park/,3.53749E+11,-7.8985031,55.1554989,Donegal,,Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Arena School of English,http://www.arenaschool.com,+353(0)14789202,-6.265618328,53.34008902,Dublin,Dublin City Area South,Republic of Ireland,"Learning,Museums and Attraction"
Arigna Mining Experience,https://www.arignaminingexperience.ie,3.5372E+11,-8.120751,54.07755,Roscommon,,Ireland,Museums and Attraction
Arkhangel Gallery,http://www.arkhangel-international.com,3536823537,-9.4848106,52.4465153,,Listowel,Ireland,"Craft,Shopping,Art Gallery"
Arklow Green Coast Beach 2019,,,-6.126780942,52.81185983,Wicklow,Arklow,Ireland,Beach
Arklow Maritime Museum,http://www.arklowmaritimeheritage.ie,3.53864E+11,-6.1493991,52.7985048,Wicklow,Ferrybank,Ireland,Museums and Attraction
Arranmore Island (Arainn Mor),,,-8.536290348,54.99633474,Galway,,Republic of Ireland,"Island,Offshore Island"
Arranmore Island-?rainn Mh?r,,+353(0)749520533,-8.520194041,54.98829765,Donegal,,Republic of Ireland,"Island,Offshore Island"
Art and Healing Centre - Art Gallery,http://www.artandhealingcentre.ie,3.53862E+11,-8.130578,52.809988,Tipperary,Nenagh,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Art at the Park,http://www.artatthepark.net,35361925975,-8.700666,52.992728,Clare,Killanena,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Arthur Griffith,http://www.visitdublin.com,+353(0)16057700,-6.254252,53.340122,Dublin,,Republic of Ireland,Public Sculpture
Arthur Wellesley Duke Of Wellington,http://www.visitdublin.com,+353(0)16057700,-6.303231,53.349086,Dublin,Phoenix Park,Republic of Ireland,Public Sculpture
Art tours incl. Book of Kells: Art Impressions,http://www.artimpressions.ie,+353(0)833756668,-6.259270059,53.34738308,Dublin,,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Artzone,http://www.artzone.ie,+353(0)14990614,-6.301149,53.317293,Dublin,,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Asana School of English,http://www.asanaireland.com,3.53669E+11,-10.212643,51.950922,Kerry,Cahersiveen,Republic of Ireland,"Learning,Museums and Attraction"
Ash Hill House,http://www.ashhill.com,3536398035,-8.584533514,52.39540627,Limerick,Kilmallock,Ireland,"Historic Houses and Castle,Castle"
Ashlawn Garden Centre,https://www.facebook.com/AshlawnGardenCentre,3.536E+11,-6.938976,52.683384,Carlow,Donore,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Askeaton Castle and Franciscan Friary,http://monastic.ie/history/askeaton-franciscan-friary,35361392149,-8.975399,52.603892,Limerick,Askeaton,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
ATC Language & Travel,http://www.atclanguageschools.com,3.53113E+11,-6.095557669,53.19857899,Wicklow,Bray,Ireland,"Learning,Museums and Attraction"
ATC Language & Travel,http://www.atclanguageschools.com,35312845512,-6.263304565,53.34124579,Dublin,,Ireland,"Learning,Museums and Attraction"
Athassel Abbey,http://www.cashel.ie,,-7.97276418,52.47548593,Tipperary,Corbally,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Athenry Arts and Heritage Centre,http://www.athenryheritagecentre.com,35391844661,-8.746329,53.2995236,Galway,Athenry,Ireland,Museums and Attraction
Athenry Castle,https://www.heritageireland.ie/en/west/athenrycastle,35391844797,-8.7446178,53.2999964,Galway,Athenry,Ireland,"Historic Houses and Castle,Castle"
Athlone Castle,http://www.athlonecastle.ie,3.53906E+11,-7.942730642,53.42308182,Westmeath,Athlone,Republic of Ireland,"Cafe,Food and Drink,Historic Houses and Castle,Museums and Attraction,Castle"
Athlumney Castle,http://www.discoverboynevalley.ie/boyne-valley-drive/heritage-sites/athlumney-castle-navan,3.5342E+11,-6.675048,53.650359,Meath,Navan,Republic of Ireland,"Historic Houses and Castle,Castle"
Athy Heritage Centre & Museum,http://www.athyheritagecentre-museum.ie,3.53599E+11,-6.9832541,52.9916784,Kildare,Athy,Ireland,Museums and Attraction
Atlantic Language Galway,http://www.atlanticlanguage.com,35391566053,-9.046042,53.27404,Galway,Galway City,Republic of Ireland,"Learning,Museums and Attraction"
Atlantic School of English & Active Leisure,http://www.atlantic-english.com,3532828943,-9.545477822,51.52694288,Cork,Schull,Republic of Ireland,"Learning,Museums and Attraction"
Atlantic Sheepdogs,https://www.facebook.com/atlanticsheepdogs,3.53857E+11,-8.545451,54.390125,Sligo,Grange,Ireland,"Learning,Museums and Attraction"
Atlas Language School,http://www.atlaslanguageschool.com,+353(0)14782845,-6.264600766,53.33027427,Dublin,,Republic of Ireland,"Learning,Museums and Attraction"
Aughnanure Castle,http://www.heritageireland.ie/en/west/aughnanurecastle,35391552214,-9.2757515,53.4187829,Galway,Oughterard,Ireland,"Historic Houses and Castle,Castle"
Aughris Head,,,-8.7570235,54.268943,Sligo,Templeboy,Ireland,Discovery Point
Augustinian Abbey Adare,http://www.ireland.anglican.org,35361396227,-8.784585,52.567928,Limerick,Adare,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Augustinian Abbey Lorrha,"http://www.megalithicireland.com/Lorrha%20Augustinian%20Abbey,%20Tipperary.html",,-8.121999159,53.08941392,Tipperary,Lorrha,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Aultaghreagh Cottage Garden,http://www.aultaghreaghcottagegarden.com,3.53239E+11,-9.083913637,51.77792113,Cork,Dunmanway,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Avanti Language Institute,http://www.avantilanguage.com,35345881661,-6.6639825,53.2178696,Kildare,Naas,Ireland,"Learning,Museums and Attraction"
Avoca Painting School,http://avocapaintingschool.com,35340235555,-6.227528,52.880018,Wicklow,Avoca,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Avoca Studio Gallery,https://avocagallery.com/welcome-to-the-avoca-painting-school/,35340235555,-6.2272958,52.8800149,Wicklow,,Ireland,"Craft,Shopping,Art Gallery"
Avondale Forest Park - Centenary Trail,http://www.coillteoutdoors.ie,,-6.226537734,52.916479,Wicklow,Rathdrum,Ireland,"Cycling,Forest Park,Park and Forest Walk,Walking,Natural Landscape"
Avondale House and Forest Park,https://visitwicklow.ie/item/avondale-house-forest-park,35340446111,-6.2226009,52.9117801,Wicklow,,Ireland,"Historic Houses and Castle,Castle"
Away to Me Sheepdog Demonstrations,https://awaytome.ie/,3.53872E+11,-8.7820907,54.6671713,Donegal,Malin Beg,Ireland,"Activity Operator,Boat,Tour,Visitor Farm"
Baginbun Beach,,,-6.929462,52.123762,Wexford,,Republic of Ireland,Beach
Bahana Forest,http://www.coillteoutdoors.ie/,,-6.921629778,52.50760317,Carlow,,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Bainnlann Chul na nGabhar Art Gallery,https://www.facebook.com/bainnlann/,3535841933,-7.6247721,52.0897542,Waterford,Dungarvan,Ireland,"Craft,Shopping,Art Gallery"
Baking Academy of Ireland,http://www.bakingacademyireland.ie,+00353(0)18451214,-6.379362,53.357996,Dublin,Palmerstown,Republic of Ireland,"Cooking,Cookery,Learning,Museums and Attraction"
B?al B?n Green Coast Beach 2019,,,-10.39754893,52.17774998,Kerry,Ballyferriter,Ireland,Beach
Balbriggan Beach,,+353(0)18400077,-6.182411859,53.61201653,Dublin,Swords,Republic of Ireland,Beach
Ballaghaderreen Cathedral,http://www.achonrydiocese.org,3.5395E+11,-8.577979,53.903133,Roscommon,Ballaghaderreen,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballaghmore Castle,"http://www.megalithicireland.com/Ballaghmore%20Castle,%20Laois.html",35350521453,-7.707129,52.9597586,Laois,,Ireland,"Historic Houses and Castle,Castle"
Ballagh Studio,http://www.rosharvey.com/,3.53749E+11,-7.2898999,55.3145175,Donegal,Ballagh,Ireland,"Craft,Shopping,Art Gallery"
Ballard Organic Farm,http://www.ballardorganicfarm.ie,3.53873E+11,-7.5560912,53.355812,Westmeath,Kilbeggan,Ireland,Visitor Farm
Ballinafad Castle,http://www.megalithicireland.com/Ballinafad%20Castle.html,,-8.335818,54.0259909,Sligo,Ballinafad,Ireland,"Historic Houses and Castle,Castle"
Ballinamuck Visitor Centre,http://visitlongford.ie/listings/ballinamuck-battlefield-visitors-centre,3.5388E+11,-7.716717,53.865444,Longford,Ballinamuck,Ireland,Museums and Attraction
Ballina Quay,,,-9.1378596,54.132133,Mayo,Ballina,Ireland,Discovery Point
Ballindoon Abbey,http://www.megalithicireland.com/Ballindoon%20Priory.html,3.53719E+11,-8.323266467,54.08492133,Sligo,Ballymote,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballineanig - Ursula Tramski Ceramics,http://www.smashingpots.com,3.53669E+11,-10.3926372,52.1626132,Kerry,Ballyferriter,Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Ballinesker Blue Flag Beach 2019,http://www.blueflagireland.org/,,-6.362396575,52.38850493,Wexford,Castlebridge,Ireland,Beach
Ballinskelligs Beach Blue Flag and Green Coast Awards 2019,http://www.blueflag.org,+353(0)646631633,-10.2715711,51.82241401,Kerry,Ballinskelligs,Republic of Ireland,Beach
Ballintubber Abbey and The Celtic Furrow,http://www.ballintubberabbey.ie,3.53949E+11,-9.2827569,53.7567222,Mayo,Ballintubber,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballinvillon Gardens,https://www.facebook.com/pages/category/Public-Garden/Ballinvillon-Gardens-1592140567737035/,3532761451,-9.46626,51.633693,Cork,Durrus,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballinvirick House,https://cappaghasenseofplace.com/historical-houses/ballinvirick-house,3.53873E+11,-8.89948176,52.57411614,Limerick,Askeaton,Ireland,"Historic Houses and Castle,Castle"
Ballitore Library & Quaker Museum,http://www.kildare.ie/Library/Library/BallitoreLibrary,3.53599E+11,-6.814924,53.009722,Kildare,Ballitore,Ireland,Museums and Attraction
Ballyalla Lake Green Coast Award 2019,http://cleancoastsireland.org,,-8.971205075,52.87699938,Clare,Ennis,Ireland,Beach
Ballybeg Augustinian Priory,,3.53214E+11,-8.6698297,52.2195337,Cork,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
"Ballyboy House, Garden & Woodlands",http://ballyboyhouse.com/gardens.html,+35352 7465297,-7.9712781,52.2823963,Tipperary,Clogheen,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballybunion Beach,,,-9.6769166,52.511304,Kerry,Ballybunion,Ireland,Discovery Point
Ballybunion North Blue flag Beach 2019,,+353(0)667121288,-9.681072438,52.50507167,Kerry,Ballybunion,Republic of Ireland,Beach
Ballybunion South Blue Flag Beach 2019,http://www.blueflag.org,+353(0)667121288,-9.684991112,52.49085217,Kerry,Ballybunion,Republic of Ireland,Beach
Ballycarbery Castle,https://www.theringofkerry.com/ballycarbery-castle,3.53647E+11,-10.2586267,51.9489036,Kerry,Cahersiveen,Ireland,"Historic Houses and Castle,Castle,Ruins"
Ballycuggeran Beach,http://www.waterwaysireland.org/see-and-do/9/ballycuggeran-blue-flag-lakeside-beach,+353(0)656821616,-8.471177382,52.84138229,Clare,,Republic of Ireland,Beach
Ballyhack Castle,http://www.heritageireland.ie/en/south-east/ballyhackcastle,35351389468,-6.9673172,52.2459479,Wexford,Ballyhack,Ireland,"Historic Houses and Castle,Castle,Ruins"
Ballyhannon Castle,http://www.rentanirishcastle.com/history,3.53657E+11,-8.9083002,52.8014182,Clare,Quin,Ireland,"Historic Houses and Castle,Castle"
Ballyhealy Beach Green Coast Award 2019,http://www.greencoast.org/gca,,-6.540214978,52.18513747,Wexford,,Ireland,Beach
Ballyheige Beach,,,-9.8356122,52.388788,Kerry,Ballyheigue,Ireland,Discovery Point
Ballyheigue Blue Flag Beach 2019,http://www.blueflag.org,+353(0)667121288,-9.833327545,52.37473868,Kerry,Ballyheigue,Republic of Ireland,Beach
Ballyhernan Beach Green Coast 2019,http://www.beachawards.ie,,-7.699338893,55.20082216,Donegal,,Republic of Ireland,"Beach,Swimming,Swimming Pools and Water Park,Venue,Walking"
Ballyhist Garden,https://tipperary.com/listings/ballyhist-garden/,3.53527E+11,-7.872028223,52.31529252,Tipperary,Ardfinnan,Republic of Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballyhoura Mountain Bike Trail Network,http://www.visitballyhoura.com,+353(0)6391300,-8.469557294,52.35999943,Limerick,,Republic of Ireland,"Forest Park,Park and Forest Walk,Walking,National Park,National and Forest Park,Public Park,Nature and Wildlife"
Ballyhugh Art And Culture Centre Ceili Dance Workshops,http://homepage.eircom.net/~ballyhugh,3.535E+11,-7.58401977,54.11649607,Cavan,Ballyconnell,Republic of Ireland,"Learning,Museums and Attraction"
Ballyhugh Art and Culture Centre Painting,http://homepage.eircom.net/~ballyhugh,3.535E+11,-7.583964736,54.11607379,Cavan,Ballyconnell,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction"
Ballykeefe Distillery,http://ballykeefedistillery.ie,3.53877E+11,-7.37639638,52.60189843,Kilkenny,,Republic of Ireland,"Museums and Attraction,Tour"
Ballykeele Garden,https://www.ballinkeele.ie/,3.53539E+11,-6.4868421,52.4432855,Wexford,,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballykilcavan Brewery,http://www.ballykilcavan.com,3.53863E+11,-7.1157709,53.0179718,Laois,Stradbally,Ireland,"Museums and Attraction,Tour,Visitor Farm"
Ballyknocken Cookery School,http://www.thecookeryschool.ie,35340444627,-6.1431625,52.9769314,Wicklow,Glenealy,Ireland,"Cooking,Cookery,Learning,Museums and Attraction,Local Produce,Food and Drink,Restaurant"
Ballylarkin Abbey Freshford - Ballylarkin Church,"http://www.megalithicireland.com/Ballylarkin%20Church,%20Kilkenny.html",,-7.427511,52.722887,,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Ballyloughan Castle,http://www.megalithicireland.com/Ballyloughan%20Castle.html,,-6.8956127,52.6729963,Carlow,,Ireland,"Historic Houses and Castle,Castle"
Ballymacool Town Park,http://www.donegalcoco.ie,+353(0)749194297,-7.736715873,54.9511565,Donegal,Letterkenny,Ireland,Natural Landscape
Ballymalis Castle,https://www.inspirock.com/ireland/killarney/ballymalis-castle-a58204201,3.53647E+11,-9.6924377,52.0845424,Kerry,,Ireland,"Historic Houses and Castle,Castle"
Ballymaloe Cookery School,http://www.cookingisfun.ie,3.53215E+11,-8.0195295,51.85385193,Cork,Shanagarry,Republic of Ireland,"Cooking,Cookery,Learning,Museums and Attraction"
Ballymaloe Cookery School Garden,http://www.cookingisfun.ie/,3.53215E+11,-8.075021,51.865083,Cork,Shanagarry,Ireland,"Gardening,Nature and Wildlife,Gardens,Garden"
Ballymastocker Strand,,,-7.5952649,55.183983,Donegal,Portsalon,Ireland,Discovery Point
Ballymoney North Beach Blue Flag Beach 2019,,,-6.203500032,52.67669255,Wexford,Ballymoney,Ireland,Beach
Ballymoon Castle,http://carlowtourism.com/ballymoon-castle-2,,-6.9062967,52.700405,Carlow,,Ireland,"Historic Houses and Castle,Castle,Ruins"
